contrast,first_system,second_system,mean_difference_kcal_mol,difference_ci95_low,difference_ci95_high
F72Y effect in Delta1,F72Y-Delta1,WT-Delta1,11.099300000029615,9.26292625004123,12.924406250024271
F72Y effect in Delta2,F72Y-Delta2,WT-Delta2,5.280950000004381,3.8259737499781754,6.746000000008147
Delta1 minus Delta2 in WT,WT-Delta1,WT-Delta2,5.1819499999797,3.49952749997744,6.869709999963061
Delta1 minus Delta2 in F72Y,F72Y-Delta1,F72Y-Delta2,11.000300000004934,9.392737500033572,12.619302500026125
