system,n_paths,mean_kcal_mol,mean_ci95_low,mean_ci95_high,sd_kcal_mol,median_kcal_mol,q25_kcal_mol,q75_kcal_mol,min_kcal_mol,max_kcal_mol
WT-Delta1,200,37.612749999978114,36.342893750002084,38.89404124997096,9.263311428995989,37.41499999980442,30.64250000019092,43.690000000060536,16.72000000020489,62.390000000130385
WT-Delta2,200,32.43079999999841,31.330248750014874,33.53871625000512,7.967171358595728,31.87999999988824,26.025000000023283,37.47750000015367,15.25,53.85000000009313
F72Y-Delta1,200,48.71205000000773,47.39819875001669,50.02225375001901,9.42189768981898,48.62000000011176,41.095000000088476,56.18249999999534,28.65000000037253,70.62000000011176
F72Y-Delta2,200,37.711750000002795,36.75195874999516,38.68880625000357,6.959428327896471,37.64999999990687,32.942499999771826,42.234999999869615,18.669999999925494,58.29000000003725
